"All Websites","تمامی وب‌سایت‌ها"
"Add %s","افزودن %s"
"Error","خطا"
"No search modules were registered","ماژول جستجویی ثبت نشده است"
"Please make sure that all global admin search modules are installed and activated.","لطفا مطمین شوید که همه‌ی ماژول‌های جستجوی سراسری مدیریت نصب و فعال هستند."
"Duplicate Title '%s' found.","عنوان تکراری '%s' پیدا شد."
"None","هیچ یک"
"Show Always","نمایش همیشگی"
"When Title not Exists","هنگامی که عنوان وجود ندارد"
"Search Global","جستجوی سراسری"
"Search from Begin","جستجو از ابتدا"
"New Line","سطر جدید"
"Custom","سفارشی"
"Multiline","چند سطری"
"Website","وب‌سایت"
"Title","عنوان"
"Action","کنش"
"Delete","حذف"
"Close","بستن"
"'%s' exists in list.","'%s' در لیست وجود دارد."
"New %s added to list successfully.","%s جدید با موفقیت به لیست افزوده شد."
"New %s could not add to list.","%s جدید را نمی توان به لیست افزود."
"This %s not exists in list.","این %s در لیست وجود ندارد."
"Add this %s to list.","افزودن این %s به لیست."
"Magento Logo","لگوی مجنتو"
"Logged in as %s","وارد شده به عنوان %s"
"Try Magento Go for Free","Magento Go را رایگان امتحان کنید"
"Log Out","خروج"
"Loading...","بارگذاری..."
"Global Record Search","جستجوی رکورد سراسری"
"There was a problem in Ajax connection.","مشکلی در اتصال اجکس وجود داشت."
"Add %s to List","افزودن %s به لیست"
"Book Information","اطلاعات کتاب"
"Ajax Configuration","پیکربندی اجکس"
"Allow Everything","همه چیز مجاز"
"Ajax Search","جستجوی اجکس"
"Enable","ممکن"
"Yes","بله"
"No","خیر"
"Use Ajax for","بکارگیری اجکس برای"
"Search in Main Table","جستجو در جدول اصلی"
"Search Type","نوع جستجو"
"Search Min Chars","کمینه کاراکترهای جستجو"
"Max Results","بیشینه‌ی نتایج"
"Titles Separator","جداکننده‌ی عنوان‌ها"
"Custom Separator","جداکننده‌ی سفارشی"
"Just Show Current Type","تنها نمایش نوع جاری"
"Add to List Button","دکمه‌ی افزودن به لیست"
"Enable ajax search for custom book information.","فعال‌سازی جستجوی اجکس برای اطلاعات سفارشی کتاب."
"Select book information to enable ajax search for them.","اطلاعات کتاب را انتخاب کنید تا جستجوی اجکس برای آن‌ها فعال شود."
"Search Global, looks for query anywhere in string.<br />Search from begin, finds strings just are match from begin of query.","جستجوی سراسری، به دنبال استرینگ در هر جای کوری می گردد. <br />جستجو از ابتدا، تنها رشته‌هایی را که از ابتدای کوری یکسان هستند پیدا می‌کند."
"Default: Search from Begin","پیش‌فرش: جستجو از ابتدا"
"Ajax search will start after typing this number of characters.","جستجوی اجکس پس از تایپ این تعداد کاراکتر شروع خواهد شد."
"Default: 1","پیش‌فرض: 1"
"Maximum number of search results to display.","بیشینه تعداد نتایج جستجو برای نمایش."
"Default: 10, Unlimit: 0, First Result: -1","پیش‌فرض: 10، نامحدود: 0، اولین نتیجه: 1-"
"Define how separate book information titles to showing in store.","مشخص کنید عنوان‌های اطلاعات کتاب برای نمایش در فروشگاه چگونه جدا شوند."
"Default: New Line","پیش‌فرض: سطر جدید"
"Please, enter your custom separator.","لطفا جداکننده‌ی سفارشی‌تان را وارد کنید."
"Show search result just for current title type.","نمایش نتایج جستجو تنها برای نوع عنوان جاری."
"Show Always, always shows add to list button at the end of search results, else button will be visible just when title not exists in list.","نمایش همیشگی، همیشه دکمه‌ی افزودن به لیست را در آخر نتایج جستجو نمایش می‌دهد، در غیر این صورت دکمه تنها هنگامی که عنوان در لیست وجود ندارد نمایان خواهد بود."
"Default: Show Always","پیش‌فرض: نمایش همیشگی"
